fecha,mes,anio,linea,tipo_pago,afluencia
2021-01-01,Enero,2021,Linea 1,Prepago,39122.0
2021-01-01,Enero,2021,Linea 1,Gratuidad,3528.0
2021-01-01,Enero,2021,Linea 2,Prepago,23669.0
2021-01-01,Enero,2021,Linea 2,Gratuidad,2532.0
2021-01-01,Enero,2021,Linea 3,Prepago,18229.0
2021-01-01,Enero,2021,Linea 3,Gratuidad,2735.0
2021-01-01,Enero,2021,Linea 4,Prepago,6907.0
2021-01-01,Enero,2021,Linea 4,Gratuidad,849.0
2021-01-01,Enero,2021,Linea 5,Prepago,31429.0
2021-01-01,Enero,2021,Linea 5,Gratuidad,4170.0
2021-01-01,Enero,2021,Linea 6,Prepago,26455.0
2021-01-01,Enero,2021,Linea 6,Gratuidad,2887.0
2021-01-01,Enero,2021,Linea 7,Prepago,21366.0
2021-01-01,Enero,2021,Linea 7,Gratuidad,452.0
2021-01-02,Enero,2021,Linea 1,Prepago,86300.0
2021-01-02,Enero,2021,Linea 1,Gratuidad,6290.0
2021-01-02,Enero,2021,Linea 2,Prepago,47200.0
2021-01-02,Enero,2021,Linea 2,Gratuidad,4263.0
2021-01-02,Enero,2021,Linea 3,Prepago,38581.0
2021-01-02,Enero,2021,Linea 3,Gratuidad,4719.0
2021-01-02,Enero,2021,Linea 4,Prepago,33964.0
2021-01-02,Enero,2021,Linea 4,Gratuidad,1415.0
2021-01-02,Enero,2021,Linea 5,Prepago,59236.0
2021-01-02,Enero,2021,Linea 5,Gratuidad,7235.0
2021-01-02,Enero,2021,Linea 6,Prepago,49620.0
2021-01-02,Enero,2021,Linea 6,Gratuidad,4752.0
2021-01-02,Enero,2021,Linea 7,Prepago,38992.0
2021-01-02,Enero,2021,Linea 7,Gratuidad,768.0
2021-01-03,Enero,2021,Linea 1,Prepago,65834.0
2021-01-03,Enero,2021,Linea 1,Gratuidad,5105.0
2021-01-03,Enero,2021,Linea 2,Prepago,38107.0
2021-01-03,Enero,2021,Linea 2,Gratuidad,3785.0
2021-01-03,Enero,2021,Linea 3,Prepago,30537.0
2021-01-03,Enero,2021,Linea 3,Gratuidad,4046.0
2021-01-03,Enero,2021,Linea 4,Prepago,18286.0
2021-01-03,Enero,2021,Linea 4,Gratuidad,1229.0
2021-01-03,Enero,2021,Linea 5,Prepago,50273.0
2021-01-03,Enero,2021,Linea 5,Gratuidad,6553.0
2021-01-03,Enero,2021,Linea 6,Prepago,40948.0
2021-01-03,Enero,2021,Linea 6,Gratuidad,4114.0
2021-01-03,Enero,2021,Linea 7,Prepago,31156.0
2021-01-03,Enero,2021,Linea 7,Gratuidad,514.0
2021-01-04,Enero,2021,Linea 1,Prepago,166332.0
2021-01-04,Enero,2021,Linea 1,Gratuidad,10498.0
2021-01-04,Enero,2021,Linea 2,Prepago,78259.0
2021-01-04,Enero,2021,Linea 2,Gratuidad,6460.0
2021-01-04,Enero,2021,Linea 3,Prepago,64766.0
2021-01-04,Enero,2021,Linea 3,Gratuidad,8055.0
2021-01-04,Enero,2021,Linea 4,Prepago,42319.0
2021-01-04,Enero,2021,Linea 4,Gratuidad,1791.0
2021-01-04,Enero,2021,Linea 5,Prepago,89409.0
2021-01-04,Enero,2021,Linea 5,Gratuidad,10214.0
2021-01-04,Enero,2021,Linea 6,Prepago,83404.0
2021-01-04,Enero,2021,Linea 6,Gratuidad,8420.0
2021-01-04,Enero,2021,Linea 7,Prepago,59301.0
2021-01-04,Enero,2021,Linea 7,Gratuidad,887.0
2021-01-05,Enero,2021,Linea 1,Prepago,170341.0
2021-01-05,Enero,2021,Linea 1,Gratuidad,10007.0
2021-01-05,Enero,2021,Linea 2,Prepago,82328.0
2021-01-05,Enero,2021,Linea 2,Gratuidad,6118.0
2021-01-05,Enero,2021,Linea 3,Prepago,66817.0
2021-01-05,Enero,2021,Linea 3,Gratuidad,7572.0
2021-01-05,Enero,2021,Linea 4,Prepago,38969.0
2021-01-05,Enero,2021,Linea 4,Gratuidad,1694.0
2021-01-05,Enero,2021,Linea 5,Prepago,92794.0
2021-01-05,Enero,2021,Linea 5,Gratuidad,10008.0
2021-01-05,Enero,2021,Linea 6,Prepago,85178.0
2021-01-05,Enero,2021,Linea 6,Gratuidad,7965.0
2021-01-05,Enero,2021,Linea 7,Prepago,61179.0
2021-01-05,Enero,2021,Linea 7,Gratuidad,1165.0
2021-01-06,Enero,2021,Linea 1,Prepago,157109.0
2021-01-06,Enero,2021,Linea 1,Gratuidad,9120.0
2021-01-06,Enero,2021,Linea 2,Prepago,73551.0
2021-01-06,Enero,2021,Linea 2,Gratuidad,5972.0
2021-01-06,Enero,2021,Linea 3,Prepago,58034.0
2021-01-06,Enero,2021,Linea 3,Gratuidad,6924.0
2021-01-06,Enero,2021,Linea 4,Prepago,28982.0
2021-01-06,Enero,2021,Linea 4,Gratuidad,1713.0
2021-01-06,Enero,2021,Linea 5,Prepago,79062.0
2021-01-06,Enero,2021,Linea 5,Gratuidad,9648.0
2021-01-06,Enero,2021,Linea 6,Prepago,75390.0
2021-01-06,Enero,2021,Linea 6,Gratuidad,7280.0
2021-01-06,Enero,2021,Linea 7,Prepago,56869.0
2021-01-06,Enero,2021,Linea 7,Gratuidad,786.0
2021-01-07,Enero,2021,Linea 1,Prepago,161167.0
2021-01-07,Enero,2021,Linea 1,Gratuidad,9322.0
2021-01-07,Enero,2021,Linea 2,Prepago,76694.0
2021-01-07,Enero,2021,Linea 2,Gratuidad,5754.0
2021-01-07,Enero,2021,Linea 3,Prepago,59077.0
2021-01-07,Enero,2021,Linea 3,Gratuidad,6646.0
2021-01-07,Enero,2021,Linea 4,Prepago,26368.0
2021-01-07,Enero,2021,Linea 4,Gratuidad,1690.0
2021-01-07,Enero,2021,Linea 5,Prepago,82544.0
2021-01-07,Enero,2021,Linea 5,Gratuidad,9427.0
2021-01-07,Enero,2021,Linea 6,Prepago,78273.0
2021-01-07,Enero,2021,Linea 6,Gratuidad,7172.0
2021-01-07,Enero,2021,Linea 7,Prepago,55055.0
2021-01-07,Enero,2021,Linea 7,Gratuidad,812.0
2021-01-08,Enero,2021,Linea 1,Prepago,179232.0
2021-01-08,Enero,2021,Linea 1,Gratuidad,9301.0
2021-01-08,Enero,2021,Linea 2,Prepago,80388.0
2021-01-08,Enero,2021,Linea 2,Gratuidad,6113.0
2021-01-08,Enero,2021,Linea 3,Prepago,64297.0
2021-01-08,Enero,2021,Linea 3,Gratuidad,6741.0
2021-01-08,Enero,2021,Linea 4,Prepago,33538.0
2021-01-08,Enero,2021,Linea 4,Gratuidad,1657.0
2021-01-08,Enero,2021,Linea 5,Prepago,86905.0
2021-01-08,Enero,2021,Linea 5,Gratuidad,9359.0
2021-01-08,Enero,2021,Linea 6,Prepago,83533.0
2021-01-08,Enero,2021,Linea 6,Gratuidad,7006.0
2021-01-08,Enero,2021,Linea 7,Prepago,59654.0
2021-01-08,Enero,2021,Linea 7,Gratuidad,1130.0
2021-01-09,Enero,2021,Linea 1,Prepago,204550.0
2021-01-09,Enero,2021,Linea 1,Gratuidad,10651.0
2021-01-09,Enero,2021,Linea 2,Prepago,84690.0
2021-01-09,Enero,2021,Linea 2,Gratuidad,5723.0
2021-01-09,Enero,2021,Linea 3,Prepago,82579.0
2021-01-09,Enero,2021,Linea 3,Gratuidad,7936.0
2021-01-09,Enero,2021,Linea 4,Prepago,50885.0
2021-01-09,Enero,2021,Linea 4,Gratuidad,2194.0
2021-01-09,Enero,2021,Linea 5,Prepago,80932.0
2021-01-09,Enero,2021,Linea 5,Gratuidad,8760.0
2021-01-09,Enero,2021,Linea 6,Prepago,88426.0
2021-01-09,Enero,2021,Linea 6,Gratuidad,6434.0
2021-01-09,Enero,2021,Linea 7,Prepago,73714.0
2021-01-09,Enero,2021,Linea 7,Gratuidad,1086.0
2021-01-10,Enero,2021,Linea 1,Prepago,125488.0
2021-01-10,Enero,2021,Linea 1,Gratuidad,7379.0
2021-01-10,Enero,2021,Linea 2,Prepago,56030.0
2021-01-10,Enero,2021,Linea 2,Gratuidad,4375.0
2021-01-10,Enero,2021,Linea 3,Prepago,50644.0
2021-01-10,Enero,2021,Linea 3,Gratuidad,5352.0
2021-01-10,Enero,2021,Linea 4,Prepago,22309.0
2021-01-10,Enero,2021,Linea 4,Gratuidad,1653.0
2021-01-10,Enero,2021,Linea 5,Prepago,59441.0
2021-01-10,Enero,2021,Linea 5,Gratuidad,7130.0
2021-01-10,Enero,2021,Linea 6,Prepago,57260.0
2021-01-10,Enero,2021,Linea 6,Gratuidad,4915.0
2021-01-10,Enero,2021,Linea 7,Prepago,45865.0
2021-01-10,Enero,2021,Linea 7,Gratuidad,1017.0
2021-01-11,Enero,2021,Linea 1,Prepago,301556.0
2021-01-11,Enero,2021,Linea 1,Gratuidad,13711.0
2021-01-11,Enero,2021,Linea 2,Prepago,107512.0
2021-01-11,Enero,2021,Linea 2,Gratuidad,7249.0
2021-01-11,Enero,2021,Linea 3,Prepago,106787.0
2021-01-11,Enero,2021,Linea 3,Gratuidad,9925.0
2021-01-11,Enero,2021,Linea 4,Prepago,49256.0
2021-01-11,Enero,2021,Linea 4,Gratuidad,2376.0
2021-01-11,Enero,2021,Linea 5,Prepago,103956.0
2021-01-11,Enero,2021,Linea 5,Gratuidad,10397.0
2021-01-11,Enero,2021,Linea 6,Prepago,128653.0
2021-01-11,Enero,2021,Linea 6,Gratuidad,8498.0
2021-01-11,Enero,2021,Linea 7,Prepago,105293.0
2021-01-11,Enero,2021,Linea 7,Gratuidad,1509.0
2021-01-12,Enero,2021,Linea 1,Prepago,278788.0
2021-01-12,Enero,2021,Linea 1,Gratuidad,12843.0
2021-01-12,Enero,2021,Linea 2,Prepago,103292.0
2021-01-12,Enero,2021,Linea 2,Gratuidad,6732.0
2021-01-12,Enero,2021,Linea 3,Prepago,94879.0
2021-01-12,Enero,2021,Linea 3,Gratuidad,8542.0
2021-01-12,Enero,2021,Linea 4,Prepago,47559.0
2021-01-12,Enero,2021,Linea 4,Gratuidad,2532.0
2021-01-12,Enero,2021,Linea 5,Prepago,99472.0
2021-01-12,Enero,2021,Linea 5,Gratuidad,9881.0
2021-01-12,Enero,2021,Linea 6,Prepago,95073.0
2021-01-12,Enero,2021,Linea 6,Gratuidad,7731.0
2021-01-12,Enero,2021,Linea 7,Prepago,104247.0
2021-01-12,Enero,2021,Linea 7,Gratuidad,1316.0
2021-01-13,Enero,2021,Linea 1,Prepago,279403.0
2021-01-13,Enero,2021,Linea 1,Gratuidad,13538.0
2021-01-13,Enero,2021,Linea 2,Prepago,100273.0
2021-01-13,Enero,2021,Linea 2,Gratuidad,6644.0
2021-01-13,Enero,2021,Linea 3,Prepago,95888.0
2021-01-13,Enero,2021,Linea 3,Gratuidad,8408.0
2021-01-13,Enero,2021,Linea 4,Prepago,51637.0
2021-01-13,Enero,2021,Linea 4,Gratuidad,2411.0
2021-01-13,Enero,2021,Linea 5,Prepago,89830.0
2021-01-13,Enero,2021,Linea 5,Gratuidad,9668.0
2021-01-13,Enero,2021,Linea 6,Prepago,92781.0
2021-01-13,Enero,2021,Linea 6,Gratuidad,7514.0
2021-01-13,Enero,2021,Linea 7,Prepago,103911.0
2021-01-13,Enero,2021,Linea 7,Gratuidad,1537.0
2021-01-14,Enero,2021,Linea 1,Prepago,281825.0
2021-01-14,Enero,2021,Linea 1,Gratuidad,12663.0
2021-01-14,Enero,2021,Linea 2,Prepago,100109.0
2021-01-14,Enero,2021,Linea 2,Gratuidad,6687.0
2021-01-14,Enero,2021,Linea 3,Prepago,98348.0
2021-01-14,Enero,2021,Linea 3,Gratuidad,7861.0
2021-01-14,Enero,2021,Linea 4,Prepago,49843.0
2021-01-14,Enero,2021,Linea 4,Gratuidad,2454.0
2021-01-14,Enero,2021,Linea 5,Prepago,93138.0
2021-01-14,Enero,2021,Linea 5,Gratuidad,9462.0
2021-01-14,Enero,2021,Linea 6,Prepago,95527.0
